"epochs","magface-fine-tuner - _step","magface-fine-tuner - _step__MIN","magface-fine-tuner - _step__MAX","magface-fine-tuner - CO2 emission (in Kg)","magface-fine-tuner - CO2 emission (in Kg)__MIN","magface-fine-tuner - CO2 emission (in Kg)__MAX"
"0","0","0","0","0.005345338109996297","0.0009068066957247901","0.036324919682706076"
"1","1","1","1","0.0021471956426962306","0.0008633835435865631","0.004529931372178358"
"2","2","2","2","0.0022127129986527962","0.0008433698321331695","0.004795889490185368"
"3","3","3","3","0.0020843932117323837","0.00002227469041975546","0.005391666420545646"
"4","4","4","4","0.0018916232736248123","0.0008567330007210111","0.0034776285972551086"
"5","5","5","5","0.0018936520315221783","0.0008539656744948031","0.0034288654852160654"
"6","6","6","6","0.0019091792358290158","0.0008609822781179792","0.003451819580962408"
"7","7","7","7","0.0019211313929865335","0.0008519687564124209","0.003536042626154179"
"8","8","8","8","0.0019081124420769026","0.0008424257337390329","0.0034636269665775177"
"9","9","9","9","0.0018545486415997908","0.000011462977593514498","0.0034932876023883253"
"10","10","10","10","0.0022970192271076335","0.0008643037060995405","0.006759818196098529"
"11","11","11","11","0.002349686970062609","0.0008647377239453005","0.007658918668764733"
"12","12","12","12","0.003017546918525268","0.0010204456443540148","0.012796815317774704"
"13","13","13","13","0.003059544982418063","0.0010050502338821681","0.01353763105487745"
"14","14","14","14","0.0032187387169801684","0.0009563801356502947","0.01418983434884596"
"15","15","15","15","0.003295566254297851","0.0010300370681343002","0.015326722825016025"
"16","16","16","16","0.0031143057967483786","0.0009815166762971656","0.01259627577758781"
"17","17","17","17","0.0022363116299777357","0.000051999136782863554","0.004038105408138135"
"18","18","18","18","0.0024775658150604815","0.0009787084939871613","0.004039846963181808"
"19","19","19","19","0.0024139645842857172","0.000013274345545583605","0.004035047578626401"
"20","20","20","20","0.0025061080120384505","0.0010042344615420718","0.004035671442833182"
"21","21","21","21","0.0026216629110175486","0.0010688238566015876","0.004039158210305185"
"22","22","22","22","0.002391167419548314","0.000036763043390812394","0.004034574594871895"
"23","23","23","23","0.0026257010031694394","0.0009892467270008422","0.004188668114438463"
"24","24","24","24","0.002585131814084574","0.0009779377268161913","0.004032667672802536"
"25","25","25","25","0.0025886098504503342","0.0009792481171409897","0.004032402281215108"
"26","26","26","26","0.0017324813078744873","0.0009716645946285396","0.002493298021120435"
"27","27","27","27","0.0017438141299374699","0.000996838717678918","0.002490789542196022"
"28","28","28","28","0.0017467799636847994","0.0009879659736775981","0.0025055939536920008"
"29","29","29","29","0.0017290438231335997","0.0009649636265873098","0.0024931240196798894"